Members;Membership Date
Angola;08. Apr 94
Antigua and Barbuda ;30. Mar 87
Argentina;11. Oct 67
Australia;01. Jan 48
Austria;19. Oct 51
Bahrain;13. Dec 93
Bangladesh;16. Dec 72
Barbados;15. Feb 67
Belgium ;01. Jan 48
Belize ;07. Oct 83
Benin ;12. Sep 63
Bolivia;08. Sep 90
Botswana;08. Sep 90
Brazil;08. Sep 90
Brunei Darussalam;09. Dec 93
Burkina Faso ;03. May 63
Burundi;13. Mar 65
Cameroon;13. Mar 65
Canada;01. Jan 48
Central African Republic;03. May 63
Chad;12. Jul 63
Chile;16. Mar 49
Colombia;03. Oct 81
Congo Rep.;03. May 63
Costa Rica;24. Nov 90
Cote d'Ivoire ;31. Dec 63
Cuba;01. Jan 48
Cyprus;15. Jul 63
Czech Republic ;15. Apr 93
Denmark;28. May 50
Djibouti;16. Dec 94
Dominica;20. Apr 93
Dominican Republic;19. May 50
Egypt ;09. May 70
El Salvador;22. May 91
Fiji ;16. Nov 93
Finland;25. May 50
France;01. Jan 48
Gabon;03. May 63
Gambia;22. Feb 65
Germany ;01. Oct 51
Ghana;17. Oct 57
Greece;01. Mar 50
Grenada;09. Feb 94
Guatemala;10. Oct 91
Guinea;08. Dec 94
Guinea Bissau ;17. Mar 94
Guyana;05. Jul 66
Haiti;05. Jul 66
Honduras ;10. Apr 94
Hong Kong;23. Apr 86
Hungary;09. Sep 73
Iceland;21. Apr 68
India ;08. Jul 48
Indonesia;24. Feb 50
Ireland;22. Dec 67
Israel;05. Jul 62
Italy;30. May 50
Jamaica;31. Dec 63
Japan;10. Sep 55
Kenya;05. Feb 64
Korea South ®;14. Apr 67
Kuwait;03. May 63
Lesotho;08. Jan 88
Liechtenstein;29. Mar 94
Luxembourg;01. Jan 48
Macao;11. Jan 91
Madagascar;30. Sep 63
Malawi;28. Aug 64
Malaysia;24. Oct 57
Maldives ;19. Apr 83
Mali;11. Jan 93
Malta;17. Nov 64
Mauritania;30. Sep 63
Mauritius;02. Sep 70
Mexico;24. Aug 86
Morocco;17. Jun 87
Mozambique;27. Jul 92
Myanmar, Union of ;29. Jul 48
Namibia;15. Sep 92
Netherlands;01. Jan 48
New Zealand;30. Jul 48
Nicaragua;28. May 50
Niger;31. Dec 63
Nigeria;18. Nov 60
Norway;10. Jul 48
Pakistan;30. Jul 48
Papua New Guinea;16. Dec 94
Paraguay;06. Jan 94
Peru;07. Oct 51
Philippines;27. Dec 79
Poland;18. Oct 67
Portugal;06. May 62
Qatar;07. Apr 94
Romania;14. Nov 71
Rwanda;01. Jan 66
Senegal;27. Sep 63
Sierra Leone;19. May 61
Singapore;20. Aug 73
Slovak Republic;15. Apr 93
Slovenia;30. Oct 94
Solomon Islands;28. Dec 94
South Africa;13. Jun 48
Spain;29. Aug 63
Sri Lanka ;29. Jul 48
Saint Kitts and Nevis;24. Mar 94
Saint Lucia  13 April 1993;
Saint Vincent and the Grenadines;18. May 93
Suriname;22. Mar 78
Swaziland;08. Feb 93
Sweden;30. Apr 50
Switzerland;01. Aug 66
Tanzania;09. Dec 61
Thailand;20. Nov 82
Togo;20. Mar 64
Trinidad and Tobago;23. Oct 62
Tunisia;29. Aug 90
Turkey;17. Oct 51
Uganda;23. Oct 62
United Arab Emirates;08. Mar 94
United Kingdom ;01. Jan 48
United States of America;01. Jan 48
Uruguay;06. Dec 53
Venezuela;31. Aug 90
Yugoslavia;25. Aug 66
Congo Dem. Rep. of  (Zaire);11. Sep 71
Zambia;10. Feb 82
Zimbabwe;11. Jul 48
;
