country,coordinates,landlocked,language,area,island,border_countries,ISO3
Albania,41 00 N 20 00 E,No,Albanian,28748.0,No,"['GRC', 'XKX', 'MKD', 'MNE']",ALB
Algeria,28 00 N 3 00 E,No,Arabic,2381740.0,No,"['LBY', 'MLI', 'MRT', 'MAR', 'NER', 'TUN']",DZA
Angola,12 30 S 18 30 E,No,Portuguese,1246700.0,No,"['COD', 'NAM', 'ZMB']",AGO
Antigua and Barbuda,17 03 N 61 48 W,No,English,443.0,Yes,nan,ATG
Argentina,34 00 S 64 00 W,No,Spanish,2780400.0,No,"['BOL', 'BRA', 'CHL', 'PRY', 'URY']",ARG
Armenia,40 00 N 45 00 E,Yes,Armenian,29743.0,No,"['AZE', 'GEO', 'IRN', 'TUR']",ARM
Australia,27 00 S 133 00 E,No,English,7741220.0,Yes,nan,AUS
Austria,47 20 N 13 20 E,Yes,German,83871.0,No,"['CZE', 'DEU', 'HUN', 'ITA', 'LIE', 'SVN', 'CHE']",AUT
Azerbaijan,40 30 N 47 30 E,Yes,Azerbaijani,86600.0,No,"['ARM', 'IRN', 'RUS', 'TUR']",AZE
Bahamas The,24 15 N 76 00 W,No,English,13880.0,Yes,nan,BHS
Bahrain,26 00 N 50 33 E,No,Arabic,760.0,Yes,nan,BHR
Bangladesh,24 00 N 90 00 E,No,Bangla,148460.0,No,"['IND', 'MMR']",BGD
Barbados,13 10 N 59 32 W,No,English,430.0,Yes,nan,BRB
Belarus,53 00 N 28 00 E,Yes,Russian,207600.0,No,"['LVA', 'LTU', 'POL', 'RUS', 'UKR']",BLR
Belgium,50 50 N 4 00 E,No,Dutch,30528.0,No,"['FRA', 'DEU', 'LUX', 'NLD']",BEL
Belize,17 15 N 88 45 W,No,English,22966.0,No,"['GTM', 'MEX']",BLZ
Benin,9 30 N 2 15 E,No,55,112622.0,No,"['BFA', 'NER', 'NGA', 'TGO']",BEN
Bermuda,32 20 N 64 45 W,No,English,54.0,Yes,nan,BMU
Bhutan,27 30 N 90 30 E,Yes,Sharchopkha,38394.0,No,"['CHN', 'IND']",BTN
Bolivia,17 00 S 65 00 W,Yes,Spanish,1098581.0,No,"['ARG', 'BRA', 'CHL', 'PRY', 'PER']",BOL
Botswana,22 00 S 24 00 E,Yes,Setswana,581730.0,No,"['NAM', 'ZAF', 'ZMB', 'ZWE']",BWA
Brazil,10 00 S 55 00 W,No,Portuguese,8515770.0,No,"['ARG', 'BOL', 'COL', 'GUF', 'GUY', 'PRY', 'PER', 'SUR', 'URY', 'VEN']",BRA
Bulgaria,43 00 N 25 00 E,No,Bulgarian,110879.0,No,"['GRC', 'MKD', 'ROU', 'SRB', 'TUR']",BGR
Burkina Faso,13 00 N 2 00 W,Yes,Mossi,274200.0,No,"['BEN', 'CIV', 'GHA', 'MLI', 'NER', 'TGO']",BFA
Burma,22 00 N 98 00 E,No,Burmese,676578.0,No,"['BGD', 'CHN', 'IND', 'LAO', 'THA']",MMR
Burundi,3 30 S 30 00 E,Yes,Kirundi,27830.0,No,"['COD', 'RWA', 'TZA']",BDI
Cambodia,13 00 N 105 00 E,No,Khmer,181035.0,No,"['LAO', 'THA', 'VNM']",KHM
Cameroon,6 00 N 12 00 E,No,24,475440.0,No,"['CAF', 'TCD', 'GNQ', 'GAB', 'NGA']",CMR
Canada,60 00 N 95 00 W,No,English,9984670.0,No,CAN,CAN
Central African Republic,7 00 N 21 00 E,Yes,French,622984.0,No,"['CMR', 'TCD', 'COD', 'SSD']",CAF
Chad,15 00 N 19 00 E,Yes,French,1.284,No,"['CMR', 'CAF', 'LBY', 'NER', 'NGA', 'SDN']",TCD
Chile,30 00 S 71 00 W,No,Spanish,756102.0,No,"['ARG', 'BOL', 'PER']",CHL
China,35 00 N 105 00 E,No,Standard,9596960.0,No,"['AFG', 'BGD', 'BTN', 'IND', 'KAZ', 'KGZ', 'LAO', 'MNG', 'MMR', 'NPL', 'PRK', 'RUS', 'TJK', 'VNM']",CHN
Colombia,4 00 N 72 00 W,No,Spanish,1138910.0,No,"['BRA', 'ECU', 'PAN', 'PER', 'VEN']",COL
Comoros,12 10 S 44 15 E,No,Arabic,2235.0,Yes,nan,COM
Congo Democratic Republic of the,0 00 N 25 00 E,No,French,2344858.0,No,"['AGO', 'BDI', 'CAF', 'RWA', 'SSD', 'TZA', 'UGA', 'ZMB']",COD
Costa Rica,10 00 N 84 00 W,No,Spanish,51100.0,No,"['NIC', 'PAN']",CRI
Cote d'Ivoire,8 00 N 5 00 W,No,French,322463.0,No,"['BFA', 'GHA', 'GIN', 'LBR', 'MLI']",CIV
Croatia,45 10 N 15 30 E,No,Croatian,56594.0,No,"['BIH', 'HUN', 'SVN']",HRV
Cyprus,35 00 N 33 00 E,No,Greek,9251.0,No,"Akrotiri  , Dhekelia",CYP
Czechia,49 45 N 15 30 E,Yes,Czech,78867.0,No,"['AUT', 'DEU', 'POL', 'SVK']",CZE
Denmark,56 00 N 10 00 E,No,Danish,43094.0,No,DEU,DNK
Djibouti,11 30 N 43 00 E,No,French,23200.0,No,"['ERI', 'ETH', 'SOM']",DJI
Dominica,15 25 N 61 20 W,No,English,751.0,Yes,nan,DMA
Dominican Republic,19 00 N 70 40 W,No,Spanish,48670.0,No,HTI,DOM
Ecuador,2 00 S 77 30 W,No,Spanish,283561.0,No,"['COL', 'PER']",ECU
Egypt,27 00 N 30 00 E,No,Arabic,1001450.0,No,"['ISR', 'LBY', 'PSE']",EGY
El Salvador,13 50 N 88 55 W,No,Spanish,21041.0,No,"['GTM', 'HND']",SLV
Equatorial Guinea,2 00 N 10 00 E,No,Spanish,28051.0,No,"['CMR', 'GAB']",GNQ
Estonia,59 00 N 26 00 E,No,Estonian,45228.0,No,"['LVA', 'RUS']",EST
Eswatini,26 30 S 31 30 E,Yes,English,17364.0,No,"['MOZ', 'ZAF']",SWZ
Ethiopia,8 00 N 38 00 E,Yes,Oromo,1104300.0,No,"['DJI', 'ERI', 'KEN', 'SOM', 'SSD']",ETH
