,Unnamed: 0,country,coordinates,landlocked,language,area,island,border_countries,ISO3,Latitude,Longitude
0,0,Albania,41 00 N 20 00 E,0,Albanian,28748.0,0,"['GRC', 'XKX', 'MKD', 'MNE']",ALB,41.000028,19.9999619
1,1,Algeria,28 00 N 3 00 E,0,Arabic,2381740.0,0,"['LBY', 'MLI', 'MRT', 'MAR', 'NER', 'TUN']",DZA,28.0000272,2.9999825
2,2,Angola,12 30 S 18 30 E,0,Portuguese,1246700.0,0,"['COD', 'NAM', 'ZMB']",AGO,-11.8775768,17.5691241
3,3,Antigua and Barbuda,17 03 N 61 48 W,0,English,443.0,1,,ATG,17.2234721,-61.9554608
4,4,Argentina,34 00 S 64 00 W,0,Spanish,2780400.0,0,"['BOL', 'BRA', 'CHL', 'PRY', 'URY']",ARG,-34.9964963,-64.9672817
5,5,Armenia,40 00 N 45 00 E,1,Armenian,29743.0,0,"['AZE', 'GEO', 'IRN', 'TUR']",ARM,40.7696272,44.6736646
6,6,Australia,27 00 S 133 00 E,0,English,7741220.0,1,,AUS,-24.7761086,134.755
7,7,Austria,47 20 N 13 20 E,1,German,83871.0,0,"['CZE', 'DEU', 'HUN', 'ITA', 'LIE', 'SVN', 'CHE']",AUT,47.59397,14.12456
8,8,Azerbaijan,40 30 N 47 30 E,1,Azerbaijani,86600.0,0,"['ARM', 'IRN', 'RUS', 'TUR']",AZE,40.3936294,47.7872508
9,9,Bahamas The,24 15 N 76 00 W,0,English,13880.0,1,,BHS,38.91153185,-77.04983813278284
10,10,Bahrain,26 00 N 50 33 E,0,Arabic,760.0,1,,BHR,26.1551249,50.5344606
11,11,Bangladesh,24 00 N 90 00 E,0,Bangla,148460.0,0,"['IND', 'MMR']",BGD,24.4769288,90.2934413
12,12,Barbados,13 10 N 59 32 W,0,English,430.0,1,,BRB,13.1500331,-59.5250305
13,13,Belarus,53 00 N 28 00 E,1,Russian,207600.0,0,"['LVA', 'LTU', 'POL', 'RUS', 'UKR']",BLR,53.4250605,27.6971358
14,14,Belgium,50 50 N 4 00 E,0,Dutch,30528.0,0,"['FRA', 'DEU', 'LUX', 'NLD']",BEL,50.6402809,4.6667145
15,15,Belize,17 15 N 88 45 W,0,English,22966.0,0,"['GTM', 'MEX']",BLZ,16.8259793,-88.7600927
16,16,Benin,9 30 N 2 15 E,0,55,112622.0,0,"['BFA', 'NER', 'NGA', 'TGO']",BEN,9.5293472,2.2584408
17,17,Bermuda,32 20 N 64 45 W,0,English,54.0,1,,BMU,32.30382,-64.7561647
18,18,Bhutan,27 30 N 90 30 E,1,Sharchopkha,38394.0,0,"['CHN', 'IND']",BTN,27.549511,90.5119273
19,19,Bolivia,17 00 S 65 00 W,1,Spanish,1098581.0,0,"['ARG', 'BRA', 'CHL', 'PRY', 'PER']",BOL,-17.0568696,-64.9912286
20,20,Botswana,22 00 S 24 00 E,1,Setswana,581730.0,0,"['NAM', 'ZAF', 'ZMB', 'ZWE']",BWA,-23.1681782,24.5928742
21,21,Brazil,10 00 S 55 00 W,0,Portuguese,8515770.0,0,"['ARG', 'BOL', 'COL', 'GUF', 'GUY', 'PRY', 'PER', 'SUR', 'URY', 'VEN']",BRA,-10.3333333,-53.2
22,22,Bulgaria,43 00 N 25 00 E,0,Bulgarian,110879.0,0,"['GRC', 'MKD', 'ROU', 'SRB', 'TUR']",BGR,42.6073975,25.4856617
23,23,Burkina Faso,13 00 N 2 00 W,1,Mossi,274200.0,0,"['BEN', 'CIV', 'GHA', 'MLI', 'NER', 'TGO']",BFA,12.0753083,-1.6880314
24,24,Burma,22 00 N 98 00 E,0,Burmese,676578.0,0,"['BGD', 'CHN', 'IND', 'LAO', 'THA']",MMR,17.1750495,95.9999652
25,25,Burundi,3 30 S 30 00 E,1,Kirundi,27830.0,0,"['COD', 'RWA', 'TZA']",BDI,-3.426449,29.9324519
26,26,Cambodia,13 00 N 105 00 E,0,Khmer,181035.0,0,"['LAO', 'THA', 'VNM']",KHM,12.5433216,104.8144914
27,27,Cameroon,6 00 N 12 00 E,0,24,475440.0,0,"['CAF', 'TCD', 'GNQ', 'GAB', 'NGA']",CMR,4.6125522,13.1535811
28,28,Canada,60 00 N 95 00 W,0,English,9984670.0,0,CAN,CAN,61.0666922,-107.991707
29,29,Central African Republic,7 00 N 21 00 E,1,French,622984.0,0,"['CMR', 'TCD', 'COD', 'SSD']",CAF,7.0323598,19.9981227
30,30,Chad,15 00 N 19 00 E,1,French,1.284,0,"['CMR', 'CAF', 'LBY', 'NER', 'NGA', 'SDN']",TCD,15.6134137,19.0156172
31,31,Chile,30 00 S 71 00 W,0,Spanish,756102.0,0,"['ARG', 'BOL', 'PER']",CHL,-31.7613365,-71.3187697
32,32,China,35 00 N 105 00 E,0,Standard,9596960.0,0,"['AFG', 'BGD', 'BTN', 'IND', 'KAZ', 'KGZ', 'LAO', 'MNG', 'MMR', 'NPL', 'PRK', 'RUS', 'TJK', 'VNM']",CHN,35.000074,104.999927
33,33,Colombia,4 00 N 72 00 W,0,Spanish,1138910.0,0,"['BRA', 'ECU', 'PAN', 'PER', 'VEN']",COL,4.099917,-72.9088133
34,34,Comoros,12 10 S 44 15 E,0,Arabic,2235.0,1,,COM,-12.2045176,44.2832964
35,35,Congo Democratic Republic of the,0 00 N 25 00 E,0,French,2344858.0,0,"['AGO', 'BDI', 'CAF', 'RWA', 'SSD', 'TZA', 'UGA', 'ZMB']",COD,-2.9814344,23.8222636
36,36,Costa Rica,10 00 N 84 00 W,0,Spanish,51100.0,0,"['NIC', 'PAN']",CRI,10.2735633,-84.0739102
37,37,Cote d'Ivoire,8 00 N 5 00 W,0,French,322463.0,0,"['BFA', 'GHA', 'GIN', 'LBR', 'MLI']",CIV,7.9897371,-5.5679458
38,38,Croatia,45 10 N 15 30 E,0,Croatian,56594.0,0,"['BIH', 'HUN', 'SVN']",HRV,45.3658443,15.6575209
39,39,Cyprus,35 00 N 33 00 E,0,Greek,9251.0,0,"Akrotiri  , Dhekelia",CYP,34.9823018,33.1451285
40,40,Czechia,49 45 N 15 30 E,1,Czech,78867.0,0,"['AUT', 'DEU', 'POL', 'SVK']",CZE,49.7439047,15.3381061
41,41,Denmark,56 00 N 10 00 E,0,Danish,43094.0,0,DEU,DNK,55.670249,10.3333283
42,42,Djibouti,11 30 N 43 00 E,0,French,23200.0,0,"['ERI', 'ETH', 'SOM']",DJI,11.8145966,42.8453061
43,43,Dominica,15 25 N 61 20 W,0,English,751.0,1,,DMA,19.0974031,-70.3028026
44,44,Dominican Republic,19 00 N 70 40 W,0,Spanish,48670.0,0,HTI,DOM,19.0974031,-70.3028026
45,45,Ecuador,2 00 S 77 30 W,0,Spanish,283561.0,0,"['COL', 'PER']",ECU,-1.3397668,-79.3666965
46,46,Egypt,27 00 N 30 00 E,0,Arabic,1001450.0,0,"['ISR', 'LBY', 'PSE']",EGY,26.2540493,29.2675469
47,47,El Salvador,13 50 N 88 55 W,0,Spanish,21041.0,0,"['GTM', 'HND']",SLV,13.8000382,-88.9140683
48,48,Equatorial Guinea,2 00 N 10 00 E,0,Spanish,28051.0,0,"['CMR', 'GAB']",GNQ,1.613172,10.5170357
49,49,Estonia,59 00 N 26 00 E,0,Estonian,45228.0,0,"['LVA', 'RUS']",EST,58.7523778,25.3319078
50,50,Eswatini,26 30 S 31 30 E,1,English,17364.0,0,"['MOZ', 'ZAF']",SWZ,-26.5624806,31.3991317
51,51,Ethiopia,8 00 N 38 00 E,1,Oromo,1104300.0,0,"['DJI', 'ERI', 'KEN', 'SOM', 'SSD']",ETH,10.2116702,38.6521203
52,52,Fiji,18 00 S 175 00 E,0,English,18274.0,1,,FJI,-18.1239696,179.0122737
53,53,Finland,64 00 N 26 00 E,0,Finnish,338145.0,0,"['NOR', 'RUS', 'SWE']",FIN,63.2467777,25.9209164
54,54,France,46 00 N 2 00 E,0,French,643801.0,0,"['AND', 'FRA', 'GUF', 'DEU', 'ITA', 'MCO', 'ESP', 'CHE']",FRA,46.603354,1.8883335
55,55,Gabon,1 00 S 11 45 E,0,French,267667.0,0,"['CMR', 'GNQ']",GAB,-0.8999695,11.6899699
56,56,Gambia The,13 28 N 16 34 W,0,English,11300.0,0,SEN,GMB,13.470062,-15.4900464
57,57,Georgia,42 00 N 43 30 E,0,Georgian,69700.0,0,"['ARM', 'AZE', 'RUS', 'TUR']",GEO,32.3293809,-83.1137366
58,58,Germany,51 00 N 9 00 E,0,German,357022.0,0,"['AUT', 'CZE', 'DNK', 'FRA', 'NLD', 'POL', 'CHE']",DEU,51.1638175,10.4478313
59,59,Ghana,8 00 N 2 00 W,0,Asante,238533.0,0,"['BFA', 'CIV', 'TGO']",GHA,8.0300284,-1.0800271
60,60,Greece,39 00 N 22 00 E,0,Greek,131957.0,0,"['ALB', 'BGR', 'MKD', 'TUR']",GRC,38.9953683,21.9877132
61,61,Grenada,12 07 N 61 40 W,0,English,344.0,1,,GRD,12.1360374,-61.6904045
62,62,Guatemala,15 30 N 90 15 W,0,Spanish,108889.0,0,"['BLZ', 'SLV', 'HND', 'MEX']",GTM,15.5855545,-90.345759
63,63,Guinea,11 00 N 10 00 W,0,French,245857.0,0,"['CIV', 'GNB', 'LBR', 'MLI', 'SEN', 'SLE']",GIN,10.7226226,-10.7083587
64,64,Guinea-Bissau,12 00 N 15 00 W,0,Portuguese-based,36125.0,0,"['GIN', 'SEN']",GNB,11.815215,-15.2351044
65,65,Guyana,5 00 N 59 00 W,0,English,214969.0,0,"['BRA', 'SUR', 'VEN']",GUY,4.8417097,-58.6416891
66,66,Haiti,19 00 N 72 25 W,0,French,27750.0,0,DOM,HTI,19.1399952,-72.3570972
67,67,Honduras,15 00 N 86 30 W,0,Spanish,112090.0,0,"['SLV', 'GTM', 'NIC']",HND,15.2572432,-86.0755145
68,68,Hong Kong,22 15 N 114 10 E,0,Cantonese,1108.0,0,CHN,HKG,22.2793278,114.1628131
