Series ID,Year,Period,Label,Value
CUUR0000SA0,1948,M01,1948 Jan,23.7
CUUR0000SA0,1948,M02,1948 Feb,23.5
CUUR0000SA0,1948,M03,1948 Mar,23.4
CUUR0000SA0,1948,M04,1948 Apr,23.8
CUUR0000SA0,1948,M05,1948 May,23.9
CUUR0000SA0,1948,M06,1948 Jun,24.1
CUUR0000SA0,1948,M07,1948 Jul,24.4
CUUR0000SA0,1948,M08,1948 Aug,24.5
CUUR0000SA0,1948,M09,1948 Sep,24.5
CUUR0000SA0,1948,M10,1948 Oct,24.4
CUUR0000SA0,1948,M11,1948 Nov,24.2
CUUR0000SA0,1948,M12,1948 Dec,24.1
CUUR0000SA0,1949,M01,1949 Jan,24.0
CUUR0000SA0,1949,M02,1949 Feb,23.8
CUUR0000SA0,1949,M03,1949 Mar,23.8
CUUR0000SA0,1949,M04,1949 Apr,23.9
CUUR0000SA0,1949,M05,1949 May,23.8
CUUR0000SA0,1949,M06,1949 Jun,23.9
CUUR0000SA0,1949,M07,1949 Jul,23.7
CUUR0000SA0,1949,M08,1949 Aug,23.8
CUUR0000SA0,1949,M09,1949 Sep,23.9
CUUR0000SA0,1949,M10,1949 Oct,23.7
CUUR0000SA0,1949,M11,1949 Nov,23.8
CUUR0000SA0,1949,M12,1949 Dec,23.6
CUUR0000SA0,1950,M01,1950 Jan,23.5
CUUR0000SA0,1950,M02,1950 Feb,23.5
CUUR0000SA0,1950,M03,1950 Mar,23.6
CUUR0000SA0,1950,M04,1950 Apr,23.6
CUUR0000SA0,1950,M05,1950 May,23.7
CUUR0000SA0,1950,M06,1950 Jun,23.8
CUUR0000SA0,1950,M07,1950 Jul,24.1
CUUR0000SA0,1950,M08,1950 Aug,24.3
CUUR0000SA0,1950,M09,1950 Sep,24.4
CUUR0000SA0,1950,M10,1950 Oct,24.6
CUUR0000SA0,1950,M11,1950 Nov,24.7
CUUR0000SA0,1950,M12,1950 Dec,25.0
CUUR0000SA0,1951,M01,1951 Jan,25.4
CUUR0000SA0,1951,M02,1951 Feb,25.7
CUUR0000SA0,1951,M03,1951 Mar,25.8
CUUR0000SA0,1951,M04,1951 Apr,25.8
CUUR0000SA0,1951,M05,1951 May,25.9
CUUR0000SA0,1951,M06,1951 Jun,25.9
CUUR0000SA0,1951,M07,1951 Jul,25.9
CUUR0000SA0,1951,M08,1951 Aug,25.9
CUUR0000SA0,1951,M09,1951 Sep,26.1
CUUR0000SA0,1951,M10,1951 Oct,26.2
CUUR0000SA0,1951,M11,1951 Nov,26.4
CUUR0000SA0,1951,M12,1951 Dec,26.5
CUUR0000SA0,1952,M01,1952 Jan,26.5
CUUR0000SA0,1952,M02,1952 Feb,26.3
CUUR0000SA0,1952,M03,1952 Mar,26.3
CUUR0000SA0,1952,M04,1952 Apr,26.4
CUUR0000SA0,1952,M05,1952 May,26.4
CUUR0000SA0,1952,M06,1952 Jun,26.5
CUUR0000SA0,1952,M07,1952 Jul,26.7
CUUR0000SA0,1952,M08,1952 Aug,26.7
CUUR0000SA0,1952,M09,1952 Sep,26.7
CUUR0000SA0,1952,M10,1952 Oct,26.7
CUUR0000SA0,1952,M11,1952 Nov,26.7
CUUR0000SA0,1952,M12,1952 Dec,26.7
CUUR0000SA0,1953,M01,1953 Jan,26.6
CUUR0000SA0,1953,M02,1953 Feb,26.5
CUUR0000SA0,1953,M03,1953 Mar,26.6
CUUR0000SA0,1953,M04,1953 Apr,26.6
CUUR0000SA0,1953,M05,1953 May,26.7
CUUR0000SA0,1953,M06,1953 Jun,26.8
CUUR0000SA0,1953,M07,1953 Jul,26.8
CUUR0000SA0,1953,M08,1953 Aug,26.9
CUUR0000SA0,1953,M09,1953 Sep,26.9
CUUR0000SA0,1953,M10,1953 Oct,27.0
CUUR0000SA0,1953,M11,1953 Nov,26.9
CUUR0000SA0,1953,M12,1953 Dec,26.9
CUUR0000SA0,1954,M01,1954 Jan,26.9
CUUR0000SA0,1954,M02,1954 Feb,26.9
CUUR0000SA0,1954,M03,1954 Mar,26.9
CUUR0000SA0,1954,M04,1954 Apr,26.8
CUUR0000SA0,1954,M05,1954 May,26.9
CUUR0000SA0,1954,M06,1954 Jun,26.9
CUUR0000SA0,1954,M07,1954 Jul,26.9
CUUR0000SA0,1954,M08,1954 Aug,26.9
CUUR0000SA0,1954,M09,1954 Sep,26.8
CUUR0000SA0,1954,M10,1954 Oct,26.8
CUUR0000SA0,1954,M11,1954 Nov,26.8
CUUR0000SA0,1954,M12,1954 Dec,26.7
CUUR0000SA0,1955,M01,1955 Jan,26.7
CUUR0000SA0,1955,M02,1955 Feb,26.7
CUUR0000SA0,1955,M03,1955 Mar,26.7
CUUR0000SA0,1955,M04,1955 Apr,26.7
CUUR0000SA0,1955,M05,1955 May,26.7
CUUR0000SA0,1955,M06,1955 Jun,26.7
CUUR0000SA0,1955,M07,1955 Jul,26.8
CUUR0000SA0,1955,M08,1955 Aug,26.8
CUUR0000SA0,1955,M09,1955 Sep,26.9
CUUR0000SA0,1955,M10,1955 Oct,26.9
CUUR0000SA0,1955,M11,1955 Nov,26.9
CUUR0000SA0,1955,M12,1955 Dec,26.8
CUUR0000SA0,1956,M01,1956 Jan,26.8
CUUR0000SA0,1956,M02,1956 Feb,26.8
CUUR0000SA0,1956,M03,1956 Mar,26.8
CUUR0000SA0,1956,M04,1956 Apr,26.9
CUUR0000SA0,1956,M05,1956 May,27.0
CUUR0000SA0,1956,M06,1956 Jun,27.2
CUUR0000SA0,1956,M07,1956 Jul,27.4
