Currency_union_member_1;Currency_union_member_2;End
Antigua and Barbuda;Barbados;1975
Antigua and Barbuda;Dominica;ongoing
Antigua and Barbuda;Grenada;ongoing
Antigua and Barbuda;Guyana;1971
Antigua and Barbuda;Montserrat ;ongoing
Antigua and Barbuda;St. Kitts & Nevis ;ongoing
Antigua and Barbuda;St. Lucia ;ongoing
Antigua and Barbuda;St. Vincent & Gren.;ongoing
Antigua and Barbuda;Trinidad & Tobago;1976
Aruba;Netherlands Antilles;ongoing
Aruba;Suriname;1994
Australia;Kiribati;ongoing
Australia;Nauru;ongoing
Australia;Solomon Islands;1979
Australia;Tonga;1991
Australia;Tuvalu;ongoing
Bangladesh;India;1974
Barbados;Dominica;1975
Barbados;Grenada;1975
Barbados;Guyana;1971
Barbados;Montserrat;1975
Barbados;St. Kitts & Nevis;1975
Barbados;St. Lucia;1975
Barbados;St. Vincent & Gren.;1975
Barbados;Trinidad & Tobago;1975
Belgium;Burundi;1964
Belgium;Congo, Dem. Rep. of (Zaire);1961
Belgium;Rwanda;1966
Belgium-Luxembourg;Burundi;1964
Belgium-Luxembourg;Congo, Dem. Rep. of (Zaire);1961
Belgium-Luxembourg;Rwanda;1966
Benin;Burkina Faso;ongoing
Benin;Cöte d'Ivoire (Ivory Coast);ongoing
Benin;Equatorial Guinea ;ongoing
Benin;Gabon;ongoing
Benin;Guinea;1969
Benin;Guinea-Bissau;ongoing
Benin;Madagascar;1982
Benin;Mali;ongoing
Benin;Mauritania;1974
Benin;Niger;ongoing
Benin;Reunion;1976
Benin;Senegal;ongoing
Benin;Togo;ongoing
Bhutan;India;ongoing
Bhutan;Pakistan;1966
Botswana;Lesotho;1977
Botswana;Swaziland;1977
Brunei Darussalam;Malaysia;1971
Brunei Darussalam;Singapore;ongoing
Burma (Myanmar);India;1966
Burma (Myanmar);Pakistan;1971
Cameroon;Benin;ongoing
Cameroon;Burkina Faso;ongoing
Cameroon;Central African Rep. ;ongoing
Cameroon;Chad;ongoing
Cameroon;Comoros;1994
Cameroon;Congo, Rep. of;ongoing
Cameroon;Cöte d'Ivoire (Ivory Coast);ongoing
Cameroon;Equatorial Guinea ;ongoing
Cameroon;Gabon;ongoing
Cameroon;Guinea;1969
Cameroon;Guinea-Bissau;ongoing
Cameroon;Madagascar;1982
Cameroon;Mali;ongoing
Cameroon;Mauritania;1974
Cameroon;Niger;ongoing
Cameroon;Reunion;1976
Cameroon;Senegal;ongoing
Cameroon;Togo;ongoing
Central African Rep.;Benin;ongoing
Central African Rep.;Burkina Faso;ongoing
Central African Rep.;Chad;ongoing
Central African Rep.;Comoros;1994
Central African Rep.;Congo, Rep. of;ongoing
Central African Rep.;Cöte d'Ivoire (Ivory Coast);ongoing
Central African Rep.;Equatorial Guinea;ongoing
Central African Rep.;Gabon;ongoing
Central African Rep.;Guinea;1969
Central African Rep.;Guinea-Bissau;ongoing
Central African Rep.;Madagascar;1982
Central African Rep.;Mali;ongoing
Central African Rep.;Mauritania;1974
Central African Rep.;Niger;ongoing
Central African Rep.;Reunion;1976
Central African Rep.;Senegal;ongoing
Central African Rep.;Togo;ongoing
Chad;Benin;ongoing
Chad;Burkina Faso;ongoing
Chad;Comoros;1994
Chad;Congo, Rep. of;ongoing
Chad;Cöte d'Ivoire (Ivory Coast);ongoing
Chad;Equatorial Guinea;ongoing
Chad;Gabon;ongoing
Chad;Guinea;1969
Chad;Guinea-Bissau;ongoing
Chad;Madagascar;1982
Chad;Mali;ongoing
Chad;Mauritania;1974
Chad;Niger;ongoing
Chad;Reunion;1976
Chad;Senegal;ongoing
Chad;Togo;ongoing
Comoros;Benin;1994
Comoros;Burkina Faso;1994
Comoros;Congo, Rep. of;1994
Comoros;Cöte d'Ivoire (Ivory Coast);1994
Comoros;Equatorial Guinea;1994
Comoros;Gabon;1994
Comoros;Guinea;1969
Comoros;Madagascar;1982
Comoros;Mali;1994
Comoros;Mauritania;1974
Comoros;Niger;1994
Comoros ;Reunion ;1976
Comoros ;Senegal;1994
Comoros ;Togo;1994
Congo, Rep. of ;Benin;ongoing
Congo, Rep. of ;Burkina Faso;ongoing
Congo, Rep. of ;Cöte d'Ivoire (Ivory Coast);ongoing
Congo, Rep. of ;Equatorial Guinea;ongoing
Congo, Rep. of ;Gabon;ongoing
Congo, Rep. of ;Guinea;1969
Congo, Rep. of ;Guinea-Bissau;ongoing
Congo, Rep. of ;Madagascar;1982
Congo, Rep. of ;Mali;ongoing
Congo, Rep. of ;Mauritania;1974
Congo, Rep. of ;Niger;ongoing
Congo, Rep. of ;Reunion;1976
Congo, Rep. of ;Senegal;ongoing
Congo, Rep. of ;Togo;ongoing
Cöte d'Ivoire (Ivory Coast);Burkina Faso;ongoing
Cöte d'Ivoire (Ivory Coast);Madagascar;1982
Cöte d'Ivoire (Ivory Coast);Mali;ongoing
Cöte d'Ivoire (Ivory Coast);Mauritania;1974
Cöte d'Ivoire (Ivory Coast);Niger;ongoing
Cöte d'Ivoire (Ivory Coast);Reunion;1976
Cöte d'Ivoire (Ivory Coast);Senegal;ongoing
Cöte d'Ivoire (Ivory Coast);Togo;ongoing
Denmark ;Faeroe Islands ;ongoing
Denmark ;Greenland ;ongoing
Djibouti ;Benin;1949
Djibouti ;Burkina Faso;1949
Djibouti ;Cameroon ;1949
Djibouti ;Central African Rep. ;1949
Djibouti ;Chad ;1949
